 VTW   BTW    VAW    BAW      V      VMG    PHI   REEF    FLAT      CL  IT SAIL                                                                                                                           
6.0  171.0   2.89  161.89  2.921  -2.885    .1  1.0000  1.0000   .3003  2  Poled Asym
6.0  170.0   2.89  159.83  2.936  -2.892    .2  1.0000  1.0000   .3414  2  Poled Asym
6.0  169.0   2.89  157.77  2.953  -2.898    .2  1.0000  1.0000   .3846  2  Poled Asym
6.0  168.0   2.90  155.69  2.970  -2.905    .2  1.0000  1.0000   .4301  2  Poled Asym
6.0  167.0   2.90  153.61  2.988  -2.912    .2  1.0000  1.0000   .4770  2  Poled Asym
6.0  166.0   2.91  151.52  3.007  -2.918    .2  1.0000  1.0000   .5243  2  Poled Asym
6.0  165.0   2.92  149.42  3.027  -2.924    .2  1.0000  1.0000   .5722  2  Poled Asym
6.0  164.0   2.93  147.32  3.049  -2.930    .2  1.0000  1.0000   .6208  2  Poled Asym
6.0  163.0   2.94  145.21  3.071  -2.937    .2  1.0000  1.0000   .6705  2  Poled Asym
6.0  162.0   2.95  143.10  3.094  -2.943    .3  1.0000  1.0000   .7210  2  Poled Asym
6.0  161.0   2.97  140.98  3.118  -2.949    .3  1.0000  1.0000   .7719  2  Poled Asym
6.0  160.0   2.98  138.86  3.144  -2.954    .3  1.0000  1.0000   .8230  2  Poled Asym
6.0  159.0   3.00  136.74  3.170  -2.960    .3  1.0000  1.0000   .8741  2  Poled Asym
6.0  158.0   3.02  134.62  3.198  -2.965    .3  1.0000  1.0000   .9252  2  Poled Asym
6.0  157.0   3.04  132.50  3.226  -2.970    .3  1.0000  1.0000   .9762  2  Poled Asym
6.0  156.0   3.06  130.38  3.256  -2.974    .4  1.0000  1.0000  1.0271  2  Poled Asym
6.0  155.0   3.09  128.25  3.287  -2.979    .4  1.0000  1.0000  1.0779  2  Poled Asym
6.0  154.0   3.11  126.13  3.319  -2.983    .4  1.0000  1.0000  1.1282  2  Poled Asym
6.0  153.0   3.14  124.02  3.353  -2.987    .4  1.0000  1.0000  1.1779  2  Poled Asym
6.0  152.0   3.17  121.92  3.387  -2.991    .4  1.0000  1.0000  1.2265  2  Poled Asym
6.0  151.0   3.21  119.82  3.422  -2.993    .5  1.0000  1.0000  1.2739  2  Poled Asym
6.0  150.0   3.24  117.75  3.458  -2.995    .5  1.0000  1.0000  1.3198  2  Poled Asym
6.0  149.0   3.28  115.69  3.495  -2.996    .5  1.0000  1.0000  1.3643  2  Poled Asym
6.0  148.0   3.32  113.65  3.533  -2.996    .5  1.0000  1.0000  1.4072  2  Poled Asym
6.0  147.0   3.36  111.63  3.572  -2.995    .6  1.0000  1.0000  1.4487  2  Poled Asym
6.0  146.0   3.41  109.62  3.611  -2.994    .6  1.0000  1.0000  1.4888  2  Poled Asym
6.0  145.0   3.45  107.64  3.652  -2.992    .6  1.0000  1.0000  1.5276  2  Poled Asym
6.0  144.0   3.50  105.68  3.694  -2.988    .6  1.0000  1.0000  1.5650  2  Poled Asym
6.0  143.0   3.55  103.74  3.737  -2.984    .7  1.0000  1.0000  1.6010  2  Poled Asym
6.0  142.0   3.61  101.82  3.781  -2.979    .7  1.0000  1.0000  1.6358  2  Poled Asym
6.0  141.0   3.66   99.92  3.826  -2.973    .7  1.0000  1.0000  1.6692  2  Poled Asym
6.0  140.0   3.72   98.05  3.872  -2.966    .8  1.0000  1.0000  1.7015  2  Poled Asym
6.0  139.0   3.78   96.20  3.919  -2.958    .8  1.0000  1.0000  1.7326  2  Poled Asym
6.0  138.0   3.85   94.38  3.968  -2.949    .8  1.0000  1.0000  1.7626  2  Poled Asym
